City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
259,Vardo,NO,70.3705,31.1107,17.6,86,40,11.5,scattered clouds
260,Jizan,SA,17.3333,42.6667,71.6,78,0,6.91,clear sky
261,Hauterive,FR,46.0901,3.4459,33.8,93,90,0.81,mist
262,Leshukonskoye,RU,64.8989,45.7622,-8.55,90,0,4.43,clear sky
263,Poum,NC,-20.2333,164.0167,83.3,77,13,10.25,few clouds
264,Pokrovka,KG,42.3414,78.0056,16.83,88,100,5.01,light snow
265,Machinga,MW,-15.1685,35.3,70.81,93,97,1.52,overcast clouds
266,Talnakh,RU,69.4865,88.3972,-13.27,88,100,13.91,light snow
267,Maraba,BR,-5.3686,-49.1178,72.88,93,56,2.35,broken clouds
268,Concarneau,FR,47.875,-3.9225,28.4,100,22,3.44,few clouds
269,Fort Abbas,PK,29.1925,72.8536,60.48,45,0,3.42,clear sky
270,Paamiut,GL,61.994,-49.6678,25.54,90,100,14.79,overcast clouds
271,Verkhniy Rohachyk,UA,47.2505,34.338,36.97,86,26,11.7,scattered clouds
272,Tiksi,RU,71.6872,128.8694,-15.45,88,100,15.84,overcast clouds
273,Aripuana,BR,-9.1667,-60.6333,71.37,98,85,1.12,light rain
274,Tual,ID,-5.6667,132.75,83.39,75,77,10.92,broken clouds
275,Mangaratiba,BR,-22.9597,-44.0406,77.47,82,100,2.93,light rain
276,Luderitz,NA,-26.6481,15.1594,65.57,69,0,10.42,clear sky
277,Ofunato,JP,39.0717,141.7167,23.0,86,75,8.05,light snow
278,Nemuro,JP,43.3236,145.575,24.8,80,75,16.11,snow
279,Tadine,NC,-21.55,167.8833,78.71,87,100,15.32,moderate rain
280,Bilgoraj,PL,50.5411,22.722,33.01,94,71,5.88,light snow
281,Loandjili,CG,-4.7561,11.8578,77.23,88,100,3.0,overcast clouds
282,Marsh Harbour,BS,26.5412,-77.0636,72.12,71,52,14.54,broken clouds
283,Nelson Bay,AU,-32.7167,152.15,75.2,50,75,20.71,broken clouds
284,Fort Frances,CA,48.5999,-93.4003,12.99,92,1,4.5,fog
285,Qaqortoq,GL,60.7167,-46.0333,35.6,93,90,2.3,drizzle
286,Ustka,PL,54.5805,16.8619,33.06,94,100,5.41,light snow
287,Carrickfergus,GB,54.7158,-5.8058,36.0,86,40,8.05,scattered clouds
288,Viedma,AR,-40.8135,-62.9967,59.02,74,0,2.75,clear sky
289,Lure,FR,47.75,6.5,32.0,100,90,2.3,snow
290,Fortuna,US,40.5982,-124.1573,57.0,54,90,21.85,moderate rain
291,Lompoc,US,34.6391,-120.4579,48.2,93,1,4.94,clear sky
292,Ucluelet,CA,48.9329,-125.5528,48.99,74,56,4.0,broken clouds
293,Samarai,PG,-10.6167,150.6667,80.92,83,100,11.07,light rain
294,Nogliki,RU,51.8333,143.1667,-10.79,78,86,13.15,overcast clouds
295,Tukrah,LY,32.5341,20.5791,60.3,64,70,9.04,broken clouds
296,Alta Floresta,BR,-9.8756,-56.0861,76.41,71,88,0.58,overcast clouds
297,Severo-Yeniseyskiy,RU,60.3725,93.0408,-13.09,86,0,2.66,clear sky
298,Zhigansk,RU,66.7697,123.3711,-32.1,83,100,13.38,overcast clouds
299,Ngunguru,NZ,-35.6167,174.5,77.0,68,84,5.99,broken clouds
300,Skoghall,SE,59.3232,13.4655,26.6,93,90,10.36,overcast clouds
