City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
538,Mana,GF,77.23,overcast clouds,5.6592,-53.7767,LE SAMANA
539,Vao,NC,79.2,light rain,-22.6667,167.4833,Hotel Kou-Bugny
540,Totness,SR,77.49,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
545,Moron,AR,82.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
547,Acapulco,MX,77.0,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
550,Wonthaggi,AU,82.99,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
556,Macapa,BR,80.6,scattered clouds,0.0389,-51.0664,Atalanta Hotel
557,Lorengau,PG,85.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
566,Mount Gambier,AU,82.4,clear sky,-37.8333,140.7667,Commodore on the Park
567,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
568,Urucara,BR,76.91,scattered clouds,-2.5364,-57.76,Hotel japa
573,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
576,Lakes Entrance,AU,75.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
578,Daru,PG,86.99,light rain,-9.0763,143.2092,Daru Lodge
587,Wangaratta,AU,84.99,clear sky,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
590,Bo Phloi,TH,87.01,scattered clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
594,Thinadhoo,MV,83.16,light rain,0.5333,72.9333,
598,Boa Vista,BR,75.2,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
601,Moerai,PF,78.8,light rain,-22.4333,-151.3333,Le Manotel
602,Buala,SB,79.3,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
605,Kattivakkam,IN,80.6,mist,13.2167,80.3167,Raj's villa
609,Ahuimanu,US,78.8,broken clouds,21.4447,-157.8378,Paradise Bay Resort
618,Kirakira,SB,82.0,moderate rain,-10.4544,161.9205,SanBiz Lodge
619,Meulaboh,ID,85.33,few clouds,4.1363,96.1285,Kost Pria
623,Neiafu,TO,80.6,broken clouds,-18.65,-173.9833,Mystic Sands
632,Bireun,ID,83.08,light rain,5.203,96.7009,Hotel Fajar
637,Murud,IN,79.95,scattered clouds,18.3258,72.965,On Point Plaza
648,Mazagao,BR,80.6,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
651,Loa Janan,ID,81.9,overcast clouds,-0.583,117.095,Pondok hijau 2A
663,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
666,Nueva Italia,PY,77.0,broken clouds,-25.6167,-57.5,Quinta Che Jazmín
670,Trat,TH,90.0,few clouds,12.5,102.5,สวนหนิง-อัศ
